statement_id,text,text_en,conclusions,author
335,Gentechnik ist schädlich für andere Lebensmittel. Bienen sammeln ja z. B. auch Pollen von gentechnisch veränderten Pflanzen. Irgendwann gibt es dann vielleicht nur noch Gen-Honig,Genetic engineering is harmful to other foods. Bees collect e.g. also pollen from genetically modified plants. At some point there may only be gene honey,324(+),UPEKI
336,"Es kann schlimme Folgen haben, wenn sich gentechnisch veränderte Pflanzen in der Natur unkontrolliert ausbreiten",It can have dire consequences when genetically modified plants spread uncontrollably in nature,"324(+),334(+),335(+)",UPEKI
337,Beim Anbau gentechnisch veränderter Pflanzen wird viel giftiges Pflanzenschutzmitteln eingesetzt,A lot of toxic pesticides are used in the cultivation of genetically modified plants,324(+),UPEKI
338,"Wenn sich Gentechnik weiter ausbreitet, haben Verbraucher irgendwann keine Chance mehr, normale Lebensmittel zu kaufen","If genetic engineering continues to spread, at some point consumers will no longer have a chance to buy normal food",324(+),UPEKI
339,"Gegen Gentechnik spricht: Arme Länder werden dadurch noch abhängiger von reichen Ländern, weil nur die reichen Länder über die entsprechende Technik verfügen",The argument against genetic engineering is that poor countries become even more dependent on rich countries because only the rich countries have the appropriate technology,324(+),UPEKI
340,Durch Gentechnik gibt es vermutlich bald nur noch Einheitsbrei im Supermarkt und nicht mehr so viele Alternativen beim Einkauf,"Thanks to genetic engineering, there will probably soon only be uniformity in the supermarket and not so many alternatives when shopping","324(+),366(+)",UPEKI
341,Die genetische Kreuzung von nicht artverwandten Pflanzen kann negative Folgen haben,Genetic crossing of non-related plants can have negative consequences,324(+),UPEKI
342,"Die wirklichen Risiken von Gentechnik sind schon deshalb nicht bekannt, weil die Gentechnikkonzerne selbst die Tests durchführen und sich nicht ins eigene Fleisch schneiden",The real risks of genetic engineering are not known because the genetic engineering companies carry out the tests themselves and do not cut their own flesh,324(+),UPEKI
343,"Wenn sich Gentechnik durchsetzt, vernichtet das Arbeitsplätze in der konventionellen und Bio-Landwirtschaft","If genetic engineering prevails, it will destroy jobs in conventional and organic agriculture",324(+),UPEKI
344,"Gentechnik ist sehr wichtig, weil Deutschland ohne Gentechnik den Anschluss an eine Zukunftstechnologie von entscheidender Bedeutung verliert","Genetic engineering is very important because without genetic engineering, Germany will lose its connection to a future technology of crucial importance",324(-),UPEKI
345,"Durch Gentechnik können mehr Lebensmittel hergestellt werden. Das ist wichtig, weil es zukünftig immer mehr Menschen auf der Welt gibt, die etwas zu essen brauchen",Genetic engineering can produce more food. This is important because in the future there will be more and more people in the world who need something to eat,324(-),UPEKI
346,"Für Gentechnik spricht, dass dadurch Lebensmittel in größerer Vielfalt als bislang hergestellt werden können",What speaks in favor of genetic engineering is that it enables food to be produced in greater diversity than before,324(-),UPEKI
347,"Für Gentechnik spricht: Es ist überhaupt nicht bewiesen, dass gentechnisch veränderte Pflanzen tatsächlich schädlich für Menschen sind",In favor of genetic engineering: It has not been proven at all that genetically modified plants are actually harmful to humans,"324(-),336(-)",UPEKI
348,"Ein Vorteil von Gentechnik ist, dass damit Tierfutter in höherer Qualität und mit geringerem Energieeinsatz produziert werden kann",One advantage of genetic engineering is that animal feed can be produced in higher quality and with less energy,324(-),UPEKI
349,"Für genetisch veränderte Pflanzen spricht, dass diese widerstandsfähiger gegen Schädlinge und Krankheiten sind",An argument in favor of genetically modified plants is that they are more resistant to pests and diseases,324(-),UPEKI
350,"Gentechnik ist gut für die Natur, weil für den Anbau gentechnisch veränderten Pflanzen weniger Pflanzenschutzmittel benötigt werden",Genetic engineering is good for nature because fewer pesticides are required to grow genetically modified plants,324(-),UPEKI
351,"Gentechnik hilft dabei, dass wir in Zukunft mehr pflanzliche Rohstoffe haben und damit schneller von Kohle und Öl auf erneuerbare Energien umsteigen können",Genetic engineering helps to ensure that we have more plant-based raw materials in the future and that we can therefore switch more quickly from coal and oil to renewable energies,324(-),UPEKI
352,"Für Gentechnik spricht: Es können dadurch Pflanzen geschaffen werden, die besser schmecken und gesünder sind als normale Pflanzen",An argument in favor of genetic engineering is that plants can be created that taste better and are healthier than normal plants,324(-),UPEKI
353,"Der Anbau von Gen-Pflanzen ist gar kein Problem, weil sie vor der Zulassung intensiv getestet werden",The cultivation of gene plants is not a problem at all because they are tested intensively before approval,324(-),UPEKI
354,"Gentechnik hilft im Kampf gegen den Hunger auf der Welt, weil Pflanzen gentechnisch so verändert werden können, dass sie auch in trockenen Regionen wachsen",Genetic engineering helps in the fight against hunger in the world because plants can be genetically modified so that they can also grow in arid regions,"324(-),345(+)",UPEKI
355,"Der Anbau von Gen-Pflanzen ist sinnvoll, da Kleinbauern durch Gentechnik mehr ernten können und dadurch mehr regional produziert wird",The cultivation of gene crops makes sense because smallholders can harvest more through genetic engineering and thus more regional produce is produced,324(-),UPEKI
356,"Für Gentechnik spricht, dass es ganz natürlich ist, dass sich Pflanzen verändern. Mit Gentechnik geht diese Veränderung einfach etwas schneller","What speaks in favor of genetic engineering is that it is quite natural for plants to change. With genetic engineering, this change is simply a little faster",324(-),UPEKI
357,"Mit Gentechnik werden Pflanzen verbessert genau wie bei der klassischen Züchtung, die ja auch nicht verboten ist","Plants are improved with genetic engineering, just like with traditional breeding, which is not prohibited either","324(-),328(-)",UPEKI
358,"Gentechnik ist wichtig, um die steigende Nachfrage an Energie und Rohstoffen zu erfüllen",Genetic engineering is important to meet the increasing demand for energy and raw materials,"324(-),360(+)",UPEKI
359,"Der Anbau von genetisch veränderten Pflanzen ist sinnvoll, da dadurch in Deutschland Arbeitsplätze geschaffen werden",The cultivation of genetically modified plants makes sense as it creates jobs in Germany,324(-),UPEKI
360,Länder wie Kanada haben gute Erfahrungen mit dem Anbau gentechnisch veränderter Pflanzen gemacht,Countries like Canada have had good experiences with growing genetically modified crops,324(-),UPEKI
361,"Deutschland lebt vom technologischen Fortschritt, deshalb sollte Gentechnik nicht behindert werden","Germany lives from technological progress, so genetic engineering should not be hindered",324(-),UPEKI
362,Nur mit der Schlüsseltechnologie Gentechnik kann Deutschland weltweit wettbewerbsfähig bleiben,Germany can only remain competitive worldwide with the key technology of genetic engineering,324(-),UPEKI
363,Sollten in Deutschland Plastikverpackungen für frische Lebensmittel wie Obst und Gemüse erlaubt oder verboten sein,Should plastic packaging for fresh food such as fruit and vegetables be allowed or prohibited in Germany?,,UPEKI
364,Mikroplastik im Meeren ist heute schon ein Umweltproblem. Durch weggeworfene Plastikverpackungen wird das Problem immer größer,Microplastics in the oceans are already an environmental problem today. Discarded plastic packaging makes the problem worse,363(+),UPEKI
365,"Für die Herstellung von Plastik braucht man giftige Stoffe wie Chlor, die gefährlich für die Gesundheit sein können","The manufacture of plastic requires toxic substances such as chlorine, which can be dangerous to health",363(+),UPEKI
366,"In weggeworfenen Plastikverpackungen können sich Tiere verfangen, die dann qualvoll sterben",Animals can get caught in discarded plastic packaging and die in agony,"363(+),367(-)",UPEKI
367,"Gegen Plastikverpackungen spricht, dass Tiere manchmal Plastikmüll fressen und daran sterben",What speaks against plastic packaging is that animals sometimes eat plastic waste and die from it,363(+),UPEKI
368,"Plastikverpackungen sind ein Problem für die Umwelt, weil sie sich nur ganz langsam abbauen",Plastic packaging is a problem for the environment because it takes a long time to degrade,363(+),UPEKI
369,"Plastikverpackungen werden oft einfach verbrannt, weil sie schwer zu recyceln sind. Das schadet der Umwelt",Plastic packaging is often simply burned because it is difficult to recycle. That harms the environment,363(+),UPEKI
370,"Durch Plastikverpackungen gelangt Mikroplastik in Flüsse. Menschen, die dieses Wasser trinken, können krank werden",Microplastics get into rivers through plastic packaging. People who drink this water can get sick,363(+),UPEKI
371,Deutschland verbraucht jetzt schon pro Kopf am meisten Plastik in Europa. Das muss sich ändern,Germany already consumes the most plastic per capita in Europe. That needs to change,363(+),UPEKI
372,"Gegen Plastikverpackungen spricht, dass in Deutschland nur ein ganz kleiner Teil an Plastikverpackungen wiederverwertet wird",What speaks against plastic packaging is that only a very small part of plastic packaging is recycled in Germany,363(+),UPEKI
373,"Plastikverpackungen schaden dem Klima, weil bei der Zersetzung von Plastik Treibhausgase freigesetzt werden",Plastic packaging harms the climate because greenhouse gases are released when plastic breaks down,363(+),UPEKI
374,"Die Stoffe in Plastikverpackungen können unseren Hormonhaushalt negativ beeinflussen, da sie über die Lebensmittel auf den Menschen übergehen","The substances in plastic packaging can have a negative impact on our hormonal balance, as they pass through food to humans",363(+),UPEKI
375,"Gegen Plastikverpackungen spricht, dass Plastikmüll oft in arme Länder gebracht wird und dort die Umwelt verschmutzt",What speaks against plastic packaging is that plastic waste is often brought to poor countries and pollutes the environment there,363(+),UPEKI
376,"Gegen Plastikverpackungen spricht: Unverkaufte Lebensmittel werden mit der Verpackung geschreddert, kompostiert und als Dünger benutzt. So landet Plastikmüll auf den Äckern","What speaks against plastic packaging: Unsold food is shredded with the packaging, composted and used as fertilizer. This is how plastic waste ends up in the fields",363(+),UPEKI
377,Weggeworfene Plastikverpackungen zerstören den Lebensraum vieler Kleintiere,Discarded plastic packaging destroys the habitat of many small animals,363(+),UPEKI
378,"Plastikverpackungen sind für Menschen und Tiere gefährlich, weil diese Verpackungen giftige Inhaltsstoffe haben",Plastic packaging is dangerous for people and animals because the packaging contains toxic substances,"363(+),377(+)",UPEKI
379,"Obst und Gemüse haben schon eine natürliche Verpackung, die brauchen keine aus Plastik","Fruit and vegetables already have natural packaging, they don't need plastic","363(+),381(-)",UPEKI
380,"Plastikverpackungen sind unnötig, weil es Papiertüten auch tun und umweltfreundlicher sind",Plastic packaging is unnecessary because paper bags do too and are more environmentally friendly,363(+),UPEKI
381,"Für Plastikverpackungen spricht, dass sie recycelt werden können",The advantage of plastic packaging is that it can be recycled,363(-),UPEKI
382,"Ein Verbot bringt nichts, solange unklar ist, ob Plastikverpackungen wirklich schädlicher für die Umwelt sind als andere Verpackungen",A ban is useless as long as it is unclear whether plastic packaging is really more harmful to the environment than other packaging,363(-),UPEKI
383,"Es ist nutzlos, Plastikverpackungen aus Deutschland zu verbieten, weil die nur zu einem sehr kleinen Teil für die Verschmutzung der Meere verantwortlich sind",It is useless to ban plastic packaging from Germany because it is only responsible for a very small part for the pollution of the seas,363(-),UPEKI
384,"Ein Verbot von Plastikverpackungen ist eine Bestrafung der Deutschen für die Fehler anderer Länder bei der Müllentsorgung. Andere Länder sollte erst einmal unsere Standards einführen, bevor hier etwas verboten wird",A ban on plastic packaging is a punishment for Germans for the mistakes other countries make when it comes to garbage disposal. Other countries should first introduce our standards before something is banned here,363(-),UPEKI
385,"Es ist unhygienisch, Obst und Gemüse nicht zu verpacken",It is unsanitary not to pack fruits and vegetables,363(-),UPEKI
386,Für Plastikverpackungen spricht: An der Produktion und der Entsorgung von Plastikverpackungen hängen viele Arbeitsplätze. Ein Verbot würde die Arbeitsplätze gefährden,One of the arguments in favor of plastic packaging is that many jobs depend on the production and disposal of plastic packaging. A ban would endanger jobs,363(-),UPEKI
387,"Ein Verbot bringt nichts für das Klima, weil Papierverpackungen in der Herstellung etwa genauso viele Ressourcen verbrauchen wie Plastikverpackungen","A ban will not do anything for the climate, because paper packaging consumes about as many resources as plastic packaging",363(-),UPEKI
388,Umweltfreundliche Verpackungen taugen einfach nichts,Environmentally friendly packaging is simply no good,"363(-),373(+)",UPEKI
389,Durch Plastikverpackungen bleiben Obst und Gemüse appetitlich und sauber,Plastic packaging keeps fruit and vegetables appetizing and clean,"363(-),392(+)",UPEKI
390,"Um Lebensmittel nach Hause zu bringen, sind in Plastik eingepackte Lebensmittel einfach viel praktischer als unverpackte Lebensmittel","To bring groceries home, food wrapped in plastic is simply much more practical than unpackaged food",363(-),UPEKI
391,"Ich finde Plastikverpackungen gut, da die Lebensmittel so leichter mit Etiketten gekennzeichnet werden können",I think plastic packaging is good because it makes it easier to identify food with labels,363(-),UPEKI
392,Plastikverpackungen schützen Obst und Gemüse viel besser vor Nässe und Hitze als Verpackungen aus Papier,Plastic packaging protects fruit and vegetables much better from moisture and heat than packaging made of paper,363(-),UPEKI
393,"Plastikverpackungen erhöhen die Haltbarkeit von Lebensmitteln, wodurch die Verschwendung von Lebensmitteln reduziert werden kann","Plastic packaging increases the shelf life of food, which can reduce food waste",363(-),UPEKI
394,"Aktuell fehlt es an bezahlbaren umweltfreundlichen Alternativen zu Plastikverpackungen, weswegen man Plastikverpackungen nicht einfach verbieten kann","There is currently a lack of affordable, environmentally friendly alternatives to plastic packaging, which is why plastic packaging cannot simply be banned",363(-),UPEKI
395,"Für Plastikverpackungen spricht, dass dadurch auch kleinere Portionen angeboten werden können, z.B. für Menschen, die alleine wohnen. So werden weniger Lebensmittel weggeschmissen","One of the advantages of plastic packaging is that smaller portions can be offered, e.g. for people who live alone. This means that less food is thrown away",363(-),UPEKI
396,"Plastikverpackungen sind schön leicht, wodurch auch alte Menschen ihren Einkauf selber nach Hause tragen können","Plastic packaging is nice and light, which means that old people can also carry their shopping home themselves",363(-),UPEKI
397,"Für Plastikverpackungen spricht, dass eine Umstellung auf andere Verpackungsarten sehr teuer wäre, wodurch wohl die Preise für Lebensmittel steigen würden","An argument in favor of plastic packaging is that switching to other types of packaging would be very expensive, which would probably increase the prices for food",363(-),UPEKI
398,"Viel besser als ein Verbot von Plastik ist es, das Recycling zu verbessern",Much better than banning plastic is to improve recycling,363(-),UPEKI
399,Plastikmüll ist eine Bedrohung für die Schöpfung,Plastic waste is a threat to creation,363(+),UPEKI
466,wir müssen Plstik abschaffen sonst geht alles zugrunde,we have to do away with plst or else everything will perish,389(+),upekiuser_3273
467,"Für die Herstellung von Plastik wird Erdöl verwendet, eine endliche Ressource","Petroleum, a finite resource, is used to make plastic","363(+),387(+)",upekiuser_4597
468,"wenn sie gar nicht erst hergestellt werden, müssen sie auch nicht recycelt werden","if they are not made in the first place, they do not need to be recycled",381(-),upekiuser_87
469,"es ein Kreislauf ist, wir trinken Wasser und dass kommt nun mal aus Flüssen oder Seen, somit trinken wir es auch","it is a cycle, we drink water and that comes from rivers or lakes, so we drink it too",370(+),upekiuser_3152
470,"wenn wir weiter Plastik entsorgen, wird der Müll immer mehr","if we continue to dispose of plastic, the rubbish will increase",364(+),upekiuser_3152
471,Es sterben schon beriets Fische wegen Mikroplastik das sie verschlucken,Fishes are already dying because of microplastics they swallow,364(+),upekiuser_879
472,Der Energiebedarf bei der Herstellung wird in der Regel aus fossilen Energieträgern gedeckt,The energy required for production is usually covered by fossil fuels,363(+),upekiuser_298
473,"Man muss immer bei sich selbst anfangen mit Veränderungen und nicht darauf schauen, was andere machen",You always have to start with yourself with changes and not look at what others are doing,"384(+),363(+),327(-)",upekiuser_3245
474,"Obst und Gemüse haben bereits eine natürliche Schutzumantelung, z.B. Schale","Fruit and vegetables already have a natural protective coating, e.g. Bowl",363(+),upekiuser_2742
475,Plastik hält die Produkte nur kurzfristig frisch,Plastic only keeps the products fresh for a short time,363(+),upekiuser_2742
476,"Die Plastikverpackung schützt vor Verletzung von Obst und Gemüse, z.B. Schlangengurke","The plastic packaging protects against damage to fruit and vegetables, e.g. Snake cucumber",363(-),upekiuser_2742
477,Obst und Gemüse werden vor &quot;Anfassern&quot; geschützt,Fruits and vegetables are protected from &quot;touching&quot;,363(-),upekiuser_2742
478,Obst und Gemüse können nicht mehr sinnlich auf frische geprüft werden,Fruit and vegetables can no longer be sensually checked for freshness,363(+),upekiuser_2742
479,"Das Wissen darum, daß das möglich ist, entspricht nicht dem Tierschutz und der Sorge für Mitgeschöpfe",The knowledge that this is possible does not correspond to animal welfare and the care for fellow creatures,366(-),upekiuser_2742
480,Plastikverpackungen können oft nicht ausreichend recyclet werden und haben eine hohe Lebensdauer bis sie in der Natur zersetzt werden. Sie können nicht zeitnah abgebaut werden,Plastic packaging often cannot be sufficiently recycled and has a long lifespan until it is naturally decomposed. They cannot be dismantled in a timely manner,363(+),upekiuser_2712
481,"Recycling ist sehr aufwendig, und daher oft nicht wirtschaftlich genug für die Unternehmen",Recycling is very costly and therefore often not economical enough for the company,"369(+),363(+)",upekiuser_2712
